quarter_date,rank,permno,permco,ticker,comnam,mcap
2017-01-01,10,14542,45483,GOOG,ALPHABET INC,272683668428.64
2017-01-01,11,66093,21645,T,A T & T INC,264185820000.00003
2017-01-01,12,59408,3151,BAC,BANK OF AMERICA CORP,227666708910.00003
2017-01-01,13,18163,21446,PG,PROCTER & GAMBLE CO,225318610600.0
2017-01-01,14,65875,20288,VZ,VERIZON COMMUNICATIONS INC,222502683720.0
2017-01-01,15,14541,20440,CVX,CHEVRON CORP NEW,222473576649.99997
2017-01-01,16,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,211185880650.0
2017-01-01,17,55976,21880,WMT,WALMART INC,211005225399.99997
2017-01-01,18,21936,21394,PFE,PFIZER INC,200255715000.0
2017-01-01,19,11308,20468,KO,COCA COLA CO,180281686200.0
2017-01-01,20,59328,2367,INTC,INTEL CORP,173118000000.0
2017-01-01,21,70519,20483,C,CITIGROUP INC,172665140700.00003
2017-01-01,22,26403,20587,DIS,DISNEY WALT CO,168822182880.0
2017-01-01,23,22752,21188,MRK,MERCK & CO INC NEW,165841850700.0
2017-01-01,24,66181,5085,HD,HOME DEPOT INC,163611203910.0
2017-01-01,25,89525,43613,CMCSA,COMCAST CORP NEW,163396950850.0
2017-01-01,26,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,158973447450.0
2017-01-01,27,10104,8045,ORCL,ORACLE CORP,158145708149.99997
2017-01-01,28,92655,7267,UNH,UNITEDHEALTH GROUP INC,153670693200.0
2017-01-01,29,76076,10486,CSCO,CISCO SYSTEMS INC,153303439859.99997
2017-01-01,30,13856,21384,PEP,PEPSICO INC,150087250950.00003
2017-04-01,1,14593,7,AAPL,APPLE INC,748075615500.0
2017-04-01,2,10107,8048,MSFT,MICROSOFT CORP,506242650000.0
2017-04-01,3,84788,15473,AMZN,AMAZON COM INC,426141784780.0
2017-04-01,4,11850,20678,XOM,EXXON MOBIL CORP,340304403979.99994
2017-04-01,5,22111,21018,JNJ,JOHNSON & JOHNSON,338021123480.0
2017-04-01,6,13407,54084,META,META PLATFORMS INC,336398295200.0
2017-04-01,7,47896,20436,JPM,JPMORGAN CHASE & CO,312618201760.0
2017-04-01,8,14542,45483,GOOG,ALPHABET INC,291265307726.56
2017-04-01,9,38703,21305,WFC,WELLS FARGO & CO NEW,277636890320.0
2017-04-01,10,12060,20792,GE,GENERAL ELECTRIC CO,260216374320.0
2017-04-01,11,66093,21645,T,A T & T INC,255305064900.0
2017-04-01,12,59408,3151,BAC,BANK OF AMERICA CORP,236181735370.0
2017-04-01,13,18163,21446,PG,PROCTER & GAMBLE CO,229264857360.0
2017-04-01,14,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,218650428480.00003
2017-04-01,15,55976,21880,WMT,WALMART INC,217861036470.0
2017-04-01,16,14541,20440,CVX,CHEVRON CORP NEW,204076503400.0
2017-04-01,17,21936,21394,PFE,PFIZER INC,203903514240.0
2017-04-01,18,65875,20288,VZ,VERIZON COMMUNICATIONS INC,200493679760.0
2017-04-01,19,10104,8045,ORCL,ORACLE CORP,183556053240.0
2017-04-01,20,11308,20468,KO,COCA COLA CO,182024356149.99997
2017-04-01,21,26403,20587,DIS,DISNEY WALT CO,178997273600.0
2017-04-01,22,89525,43613,CMCSA,COMCAST CORP NEW,177790710720.0
2017-04-01,23,66181,5085,HD,HOME DEPOT INC,176371837160.0
2017-04-01,24,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,175364924490.0
2017-04-01,25,22752,21188,MRK,MERCK & CO INC NEW,174261391370.0
2017-04-01,26,59328,2367,INTC,INTEL CORP,170277439999.99997
2017-04-01,27,76076,10486,CSCO,CISCO SYSTEMS INC,168163804480.0
2017-04-01,28,92611,52983,V,VISA INC,166032756560.0
2017-04-01,29,70519,20483,C,CITIGROUP INC,165007143200.0
2017-04-01,30,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,164590668500.0
2017-07-01,1,14593,7,AAPL,APPLE INC,741863717000.0
2017-07-01,2,10107,8048,MSFT,MICROSOFT CORP,525454360000.0
2017-07-01,3,84788,15473,AMZN,AMAZON COM INC,457756785600.0
2017-07-01,4,22111,21018,JNJ,JOHNSON & JOHNSON,358010378761.67
2017-07-01,5,13407,54084,META,META PLATFORMS INC,351630646310.0
2017-07-01,6,11850,20678,XOM,EXXON MOBIL CORP,347879538599.99994
2017-07-01,7,47896,20436,JPM,JPMORGAN CHASE & CO,329522571000.0
2017-07-01,8,14542,45483,GOOG,ALPHABET INC,312506751877.32
2017-07-01,9,38703,21305,WFC,WELLS FARGO & CO NEW,278750398040.0
2017-07-01,10,59408,3151,BAC,BANK OF AMERICA CORP,245612867320.0
2017-07-01,11,12060,20792,GE,GENERAL ELECTRIC CO,238374784350.0
